"Año";"Trimestre";"Mes";"Depósitos";"Retiradas";"Nº de depósitos"
2013;"2013.T1";"Enero";39803786;20772330;1464463
2013;"2013.T1";"Febrero";37468821;19126090;1354706
2013;"2013.T1";"Marzo";41835683;22526521;1417211
2013;"2013.T2";"Abril";39693634;21786590;1300446
2013;"2013.T2";"Mayo";39966205;22888871;1394652
2013;"2013.T2";"Junio";36871382;23553819;1233424
2013;"2013.T3";"Julio";34027834;19649890;1088662
2013;"2013.T3";"Agosto";38609861;21139005;1201994
2013;"2013.T3";"Septiembre";40947021;25292362;1367010
2013;"2013.T4";"Octubre";42392327;25383246;1479949
2013;"2013.T4";"Noviembre";40928716;22778378;1487182
2013;"2013.T4";"Diciembre";41135047;25876349;1495845
2014;"2014.T1";"Enero";47460146;26579572;1638292
2014;"2014.T1";"Febrero";44024094;24637767;1504032
2014;"2014.T1";"Marzo";48479455;28196774;1618583
2014;"2014.T2";"Abril";46190517;29267865;1495272
2014;"2014.T2";"Mayo";47806891;30397727;1610684
2014;"2014.T2";"Junio";49140316;28132968;1480176
2014;"2014.T3";"Julio";44713794;29018674;1335016
2014;"2014.T3";"Agosto";47651492;24531704;1449809
2014;"2014.T3";"Septiembre";49690037;28330523;1572313
2014;"2014.T4";"Octubre";52778798;31073942;1652751
2014;"2014.T4";"Noviembre";53546267;33190463;1726169
2014;"2014.T4";"Diciembre";53437036;35301503;1740839
2015;"2015.T1";"Enero";61310712;35883237;1917307
2015;"2015.T1";"Febrero";57888366;34175732;1795563
2015;"2015.T1";"Marzo";61661658;37516393;1910466
2015;"2015.T2";"Abril";60181240;38267242;1873561
2015;"2015.T2";"Mayo";63117936;43370510;1900985
2015;"2015.T2";"Junio";57438859;40776342;1657330
2015;"2015.T3";"Julio";52980630;32616321;1531209
2015;"2015.T3";"Agosto";65346364;34565226;1895921
2015;"2015.T3";"Septiembre";70657404;42016646;2069908
2015;"2015.T4";"Octubre";73628197;42783181;2255313
2015;"2015.T4";"Noviembre";72643482;46782024;2251942
2015;"2015.T4";"Diciembre";76445326;48594658;2156753
2016;"2016.T1";"Enero";82454916;48762040;12324442
2016;"2016.T1";"Febrero";81896730;48695376;12209114
2016;"2016.T1";"Marzo";89019096;56286629;13070878
2016;"2016.T2";"Abril";93238052;62222255;12668354
2016;"2016.T2";"Mayo";88738999;62204598;12868796
2016;"2016.T2";"Junio";86625823;55349347;12035705
2016;"2016.T3";"Julio";79630139;54741135;1930922
2016;"2016.T3";"Agosto";87822153;53744382;2136890
2016;"2016.T3";"Septiembre";95898895;59540634;2470220
2016;"2016.T4";"Octubre";100568680;60723222;2775987
2016;"2016.T4";"Noviembre";99476492;60742951;2811520
2016;"2016.T4";"Diciembre";100204195;61993787;2922538
2017;"2017.T1";"Enero";109166219;59793437;3085942
2017;"2017.T1";"Febrero";103675826;64353443;2894899
2017;"2017.T1";"Marzo";115916285;76770347;3333571
2017;"2017.T2";"Abril";121159622;78767050;3484372
2017;"2017.T2";"Mayo";114960734;75668048;3172297
2017;"2017.T2";"Junio";104685832;73992050;2716865
2017;"2017.T3";"Julio";102312874;63196297;2694321
2017;"2017.T3";"Agosto";116757387;67325465;4840464
2017;"2017.T3";"Septiembre";127697509;76956311;6802183
2017;"2017.T4";"Octubre";129655713;73983907;6638628
2017;"2017.T4";"Noviembre";122968880;72567110;6133871
2017;"2017.T4";"Diciembre";128737655;70151649;6804582
2018;"2018.T1";"Enero";136851536;76392300;0
2018;"2018.T1";"Febrero";133594502;81273961;0
2018;"2018.T1";"Marzo";151113776;97963146;0
2018;"2018.T2";"Abril";148548142;92234482;0
2018;"2018.T2";"Mayo";143270462;98422134;0
2018;"2018.T2";"Junio";154229486;89522855;0
2018;"2018.T3";"Julio";143038060;91893911;0
2018;"2018.T3";"Agosto";144091897;84026475;0
2018;"2018.T3";"Septiembre";158231094;95131237;0
2018;"2018.T4";"Octubre";160233607;97227976;0
2018;"2018.T4";"Noviembre";154008862;96550267;0
2018;"2018.T4";"Diciembre";157643854;97009402;0
2019;"2019.T1";"Enero";162142614;104946687;0
2019;"2019.T1";"Febrero";158060399;93737538;0
2019;"2019.T1";"Marzo";166660270;102317711;0
2019;"2019.T2";"Abril";161091824;100290346;0
2019;"2019.T2";"Mayo";161315453;106195204;0
2019;"2019.T2";"Junio";151316346;100939658;0
2019;"2019.T3";"Julio";145399918;92744408;0
2019;"2019.T3";"Agosto";161770831;96011398;0
2019;"2019.T3";"Septiembre";174850277;110202081;0
2019;"2019.T4";"Octubre";177403627;115285147;0
2019;"2019.T4";"Noviembre";173656137;113621805;0
2019;"2019.T4";"Diciembre";183536441;129115056;0
2020;"2020.T1";"Enero";182253501;108778669;0
2020;"2020.T1";"Febrero";178037448;111031317;0
2020;"2020.T1";"Marzo";165003878;108979882;0
2020;"2020.T2";"Abril";142514651;86318144;0
2020;"2020.T2";"Mayo";155836652;90738455;0
2020;"2020.T2";"Junio";178108210;102254149;0
2020;"2020.T3";"Julio";183967859;120034070;0
2020;"2020.T3";"Agosto";193576592;128775882;0
2020;"2020.T3";"Septiembre";203022523;138352109;0
2020;"2020.T4";"Octubre";221774409;135105340;0
2020;"2020.T4";"Noviembre";230880389;170304663;0
2020;"2020.T4";"Diciembre";242871166;162424145;0
2021;"2021.T1";"Enero";251173082;160422199;0
2021;"2021.T1";"Febrero";243302539;156593743;0
2021;"2021.T1";"Marzo";243359844;180552066;0
2021;"2021.T2";"Abril";245961140;171303458;0
2021;"2021.T2";"Mayo";224273146;160516453;0
2021;"2021.T2";"Junio";205338515;145337915;0
2021;"2021.T3";"Julio";201813556;141813563;0
2021;"2021.T3";"Agosto";212292944;146244229;0
2021;"2021.T3";"Septiembre";224843343;162571241;0
2021;"2021.T4";"Octubre";238794549;180728759;0
2021;"2021.T4";"Noviembre";229281234;172838032;0
2021;"2021.T4";"Diciembre";250428239;194952586;0
2022;"2022.T1";"Enero";261842081;182958992;0
2022;"2022.T1";"Febrero";243195688;182106183;0
2022;"2022.T1";"Marzo";264801092;196399871;0
2022;"2022.T2";"Abril";269052790;195556449;0
2022;"2022.T2";"Mayo";268923300;246956938;0
2022;"2022.T2";"Junio";236068046;173697146;0
2022;"2022.T3";"Julio";244543498;167421167;0
2022;"2022.T3";"Agosto";278857475;186591557;0
2022;"2022.T3";"Septiembre";300559208;215895806;0
2022;"2022.T4";"Octubre";322429894;219107144;0
2022;"2022.T4";"Noviembre";309238339;202699015;0
2022;"2022.T4";"Diciembre";316174086;222644531;0
2023;"2023.T1";"Enero";323150585;223890088;0
2023;"2023.T1";"Febrero";298768054;213829586;0
2023;"2023.T1";"Marzo";316945886;208245795;0
2023;"2023.T2";"Abril";321074806;215515172;0
2023;"2023.T2";"Mayo";324064921;215350286;0
2023;"2023.T2";"Junio";280791334;203607250;0
2023;"2023.T3";"Julio";282358250;186363310;0
2023;"2023.T3";"Agosto";308708299;202374457;0
2023;"2023.T3";"Septiembre";330725367;226858553;0
2023;"2023.T4";"Octubre";337101669;262690026;0
2023;"2023.T4";"Noviembre";338055496;232862781;0
2023;"2023.T4";"Diciembre";361411508;239119021;0
2024;"2024.T1";"Enero";366806382;250315890;0
2024;"2024.T1";"Febrero";356350505;237531141;0
2024;"2024.T1";"Marzo";370738593;251883375;0
2024;"2024.T2";"Abril";357898963;251100262;0
2024;"2024.T2";"Mayo";360411586;242574971;0
2024;"2024.T2";"Junio";373135196;253367676;0
2024;"2024.T3";"Julio";376945744;282600479;0
2024;"2024.T3";"Agosto";382591333;249313150;0
2024;"2024.T3";"Septiembre";382154453;270085345;0
2024;"2024.T4";"Octubre";408215874;292626607;0
2024;"2024.T4";"Noviembre";410154823;270688380;0
2024;"2024.T4";"Diciembre";434451558;301560498;0
2025;"2025.T1";"Enero";452499331;313046556;0
2025;"2025.T1";"Febrero";431858931;306693414;0
2025;"2025.T1";"Marzo";470583282;337363718;0
2025;"2025.T2";"Abril";456037895;308756171;0
2025;"2025.T2";"Mayo";457176220;325480268;0
2025;"2025.T2";"Junio";436517476;328631534;0
2025;"2025.T3";"Julio";427158376;284673372;0
2025;"2025.T3";"Agosto";454851978;295603606;0
2025;"2025.T3";"Septiembre";467327328;356642975;0
2025;"2025.T4";"Octubre";497679333;350816457;0
2025;"2025.T4";"Noviembre";496556446;330886932;0
2025;"2025.T4";"Diciembre";514853664;365429240;0
